exp_id	parent	kind	phase	subtask	track	backbone	lr	epochs	loss	synth	synth_weight	precision	recall	f1_macro	wall_clock_s	best_train_loss	nan_batches	epochs_done	status	flags	description
exp_0001	-	train	0	st1	base	deberta-v3-base	2e-5	10	ce	-	-	0.639	0.625	0.615	344.5	0.594	0	10	done		Baseline: DeBERTa-v3-base ST1 binary fallacy detection
exp_0002	-	train	0	st2	base	deberta-v3-base	2e-5	10	ce	-	-	0.273	0.311	0.273	237.3	1.605	0	10	done		Baseline: DeBERTa-v3-base ST2 8-way fallacy classification
exp_0003	-	train	0	st3	base	deberta-v3-base	2e-5	10	weighted_ce	-	-	0.261	0.301	0.277	232.8	1.325	0	10	done		Baseline: DeBERTa-v3-base ST3 4-way scheme classification
exp_0004	-	train	0	st1	base	roberta-base	2e-5	10	ce	-	-	0.696	0.691	0.689	254.7	0.005	0	10	done		Baseline: RoBERTa-base ST1 binary fallacy detection
exp_0005	-	train	0	st2	base	roberta-base	2e-5	10	ce	-	-	0.679	0.662	0.656	147.5	0.229	0	10	done		Baseline: RoBERTa-base ST2 8-way fallacy classification
exp_0006	-	train	0	st3	base	roberta-base	2e-5	10	weighted_ce	-	-	0.416	0.471	0.433	114.9	0.363	0	10	done		Baseline: RoBERTa-base ST3 4-way scheme classification
exp_0007	-	train	0	st1	base	deberta-v3-large	1e-5	8	ce	-	-	0.754	0.507	0.351	486.2	0.693	0	6	done	time_exceeded	Baseline: DeBERTa-v3-large ST1 (barely trained, time exceeded)
exp_0008	-	train	0	st2	base	deberta-v3-large	1e-5	8	ce	-	-	0.017	0.125	0.030	397.2	2.081	0	8	done		Baseline: DeBERTa-v3-large ST2 (catastrophic failure)
exp_0009	-	train	0	st3	base	deberta-v3-large	1e-5	8	weighted_ce	-	-	0.174	0.250	0.205	392.8	1.332	0	8	done		Baseline: DeBERTa-v3-large ST3 (barely trained)
exp_0010	exp_0001	train	0	st1	base	deberta-v3-base	5e-5	20	weighted_ce	-	-	0.252	0.500	0.335	606.5	0.693	0	20	done		Higher LR retry for DeBERTa-v3-base ST1 â€” worse than exp_0001
exp_0011	exp_0002	train	0	st2	base	deberta-v3-base	5e-5	20	weighted_ce	-	-	0.156	0.196	0.145	302.9	2.023	0	20	done		Higher LR retry for DeBERTa-v3-base ST2 â€” worse than exp_0002
exp_0012	exp_0003	train	0	st3	base	deberta-v3-base	5e-5	20	weighted_ce	-	-	0.174	0.250	0.205	307.3	0.915	0	20	done		Higher LR retry for DeBERTa-v3-base ST3 â€” worse than exp_0003
exp_0013	exp_0004	train	0	st1	base	roberta-large	1e-5	10	ce	-	-	0.733	0.720	0.716	664.3	0.001	0	10	done	time_exceeded	Scale up: RoBERTa-large ST1 (+0.027 over base)
exp_0014	exp_0005	train	0	st2	base	roberta-large	1e-5	10	weighted_ce	-	-	0.727	0.710	0.711	404.3	0.004	0	10	done		Scale up: RoBERTa-large ST2 (+0.055 over base)
exp_0015	exp_0006	train	0	st3	base	roberta-large	1e-5	10	weighted_ce	-	-	0.513	0.504	0.508	464.9	0.090	0	10	done		Scale up: RoBERTa-large ST3 (+0.075 over base)
exp_0016	exp_0004	train	1	st1	enhanced	roberta-base	2e-5	10	ce	-	-	0.893	0.892	0.892	205.2	0.000	0	10	done		Enhanced track: RoBERTa-base ST1 (huge boost from enhanced fields)
